"MC","Timestep","ClassCode","CTCode","CTAbbr","SSCode","SSAbbr","Area"
1,1,"211004","1004","GrFrb",21,"OHB",.9
1,1,"245013","5013","ArVth",24,"OLS",4.8
1,1,"235013","5013","ArVth",23,"CLS",39.2
1,1,"233004","3004","JuSwg",23,"CLS",19.3
1,1,"113004","3004","JuSwg",11,"SIW",20.8
1,1,"142025","2025","JuWsi",14,"YMW",10
1,1,"152025","2025","JuWsi",15,"OMW",5
1,1,"214021","4021","NaFor",21,"OHB",0
1,1,"215012","5012","NaPgr",21,"OHB",0
1,1,"235074","5074","JuNbu",23,"CLS",0
1,2,"211004","1004","GrFrb",21,"OHB",1.6
1,2,"245013","5013","ArVth",24,"OLS",3.3
1,2,"235013","5013","ArVth",23,"CLS",38.7
1,2,"233004","3004","JuSwg",23,"CLS",19.6
1,2,"113004","3004","JuSwg",11,"SIW",20.9
1,2,"142025","2025","JuWsi",14,"YMW",10.9
1,2,"152025","2025","JuWsi",15,"OMW",5
1,2,"214021","4021","NaFor",21,"OHB",0
1,2,"215012","5012","NaPgr",21,"OHB",0
1,2,"235074","5074","JuNbu",23,"CLS",0
1,3,"211004","1004","GrFrb",21,"OHB",2.5
1,3,"245013","5013","ArVth",24,"OLS",1.4
1,3,"235013","5013","ArVth",23,"CLS",39.1
1,3,"233004","3004","JuSwg",23,"CLS",18.9
1,3,"113004","3004","JuSwg",11,"SIW",21.5
1,3,"142025","2025","JuWsi",14,"YMW",11.6
1,3,"152025","2025","JuWsi",15,"OMW",5
1,3,"214021","4021","NaFor",21,"OHB",0
1,3,"215012","5012","NaPgr",21,"OHB",0
1,3,"235074","5074","JuNbu",23,"CLS",0
1,4,"211004","1004","GrFrb",21,"OHB",3
1,4,"245013","5013","ArVth",24,"OLS",.3
1,4,"235013","5013","ArVth",23,"CLS",38.2
1,4,"233004","3004","JuSwg",23,"CLS",19.7
1,4,"113004","3004","JuSwg",11,"SIW",21.3
1,4,"142025","2025","JuWsi",14,"YMW",12.4
1,4,"152025","2025","JuWsi",15,"OMW",5.1
1,4,"214021","4021","NaFor",21,"OHB",0
1,4,"215012","5012","NaPgr",21,"OHB",0
1,4,"235074","5074","JuNbu",23,"CLS",0
1,5,"211004","1004","GrFrb",21,"OHB",3.5
1,5,"245013","5013","ArVth",24,"OLS",0
1,5,"235013","5013","ArVth",23,"CLS",37.4
1,5,"233004","3004","JuSwg",23,"CLS",19.5
1,5,"113004","3004","JuSwg",11,"SIW",21
1,5,"142025","2025","JuWsi",14,"YMW",13.3
1,5,"152025","2025","JuWsi",15,"OMW",5.2
1,5,"214021","4021","NaFor",21,"OHB",.1
1,5,"215012","5012","NaPgr",21,"OHB",0
1,5,"235074","5074","JuNbu",23,"CLS",0
1,6,"211004","1004","GrFrb",21,"OHB",4.7
1,6,"245013","5013","ArVth",24,"OLS",0
1,6,"235013","5013","ArVth",23,"CLS",35.4
1,6,"233004","3004","JuSwg",23,"CLS",19.8
1,6,"113004","3004","JuSwg",11,"SIW",20.6
1,6,"142025","2025","JuWsi",14,"YMW",14.1
1,6,"152025","2025","JuWsi",15,"OMW",5.3
1,6,"214021","4021","NaFor",21,"OHB",.1
1,6,"215012","5012","NaPgr",21,"OHB",0
1,6,"235074","5074","JuNbu",23,"CLS",0
1,7,"211004","1004","GrFrb",21,"OHB",5
1,7,"245013","5013","ArVth",24,"OLS",0
1,7,"235013","5013","ArVth",23,"CLS",33.9
1,7,"233004","3004","JuSwg",23,"CLS",19.9
1,7,"113004","3004","JuSwg",11,"SIW",20.3
1,7,"142025","2025","JuWsi",14,"YMW",15.5
1,7,"152025","2025","JuWsi",15,"OMW",5.3
1,7,"214021","4021","NaFor",21,"OHB",.1
1,7,"215012","5012","NaPgr",21,"OHB",0
1,7,"235074","5074","JuNbu",23,"CLS",0
1,8,"211004","1004","GrFrb",21,"OHB",5.5
1,8,"245013","5013","ArVth",24,"OLS",0
1,8,"235013","5013","ArVth",23,"CLS",32.8
1,8,"233004","3004","JuSwg",23,"CLS",19.5
1,8,"113004","3004","JuSwg",11,"SIW",20.2
1,8,"142025","2025","JuWsi",14,"YMW",16.5
1,8,"152025","2025","JuWsi",15,"OMW",5.4
1,8,"214021","4021","NaFor",21,"OHB",.1
1,8,"215012","5012","NaPgr",21,"OHB",0
1,8,"235074","5074","JuNbu",23,"CLS",0
1,9,"211004","1004","GrFrb",21,"OHB",6.7
1,9,"245013","5013","ArVth",24,"OLS",0
1,9,"235013","5013","ArVth",23,"CLS",30
1,9,"233004","3004","JuSwg",23,"CLS",20.4
1,9,"113004","3004","JuSwg",11,"SIW",20.2
1,9,"142025","2025","JuWsi",14,"YMW",17.2
1,9,"152025","2025","JuWsi",15,"OMW",5.4
1,9,"214021","4021","NaFor",21,"OHB",.1
1,9,"215012","5012","NaPgr",21,"OHB",0
1,9,"235074","5074","JuNbu",23,"CLS",0
1,10,"211004","1004","GrFrb",21,"OHB",7.5
1,10,"245013","5013","ArVth",24,"OLS",0
1,10,"235013","5013","ArVth",23,"CLS",28.3
1,10,"233004","3004","JuSwg",23,"CLS",20.9
1,10,"113004","3004","JuSwg",11,"SIW",19.6
1,10,"142025","2025","JuWsi",14,"YMW",18.1
1,10,"152025","2025","JuWsi",15,"OMW",5.5
1,10,"214021","4021","NaFor",21,"OHB",.1
1,10,"215012","5012","NaPgr",21,"OHB",0
1,10,"235074","5074","JuNbu",23,"CLS",0
1,11,"211004","1004","GrFrb",21,"OHB",7.6
1,11,"245013","5013","ArVth",24,"OLS",.9
1,11,"235013","5013","ArVth",23,"CLS",26.7
1,11,"233004","3004","JuSwg",23,"CLS",20.5
1,11,"113004","3004","JuSwg",11,"SIW",19.9
1,11,"142025","2025","JuWsi",14,"YMW",18.7
1,11,"152025","2025","JuWsi",15,"OMW",5.6
1,11,"214021","4021","NaFor",21,"OHB",.1
1,11,"215012","5012","NaPgr",21,"OHB",0
1,11,"235074","5074","JuNbu",23,"CLS",0
1,12,"211004","1004","GrFrb",21,"OHB",7.8
1,12,"245013","5013","ArVth",24,"OLS",1.6
1,12,"235013","5013","ArVth",23,"CLS",25.7
1,12,"233004","3004","JuSwg",23,"CLS",19.4
1,12,"113004","3004","JuSwg",11,"SIW",20.3
1,12,"142025","2025","JuWsi",14,"YMW",19.2
1,12,"152025","2025","JuWsi",15,"OMW",5.7
1,12,"214021","4021","NaFor",21,"OHB",.3
1,12,"215012","5012","NaPgr",21,"OHB",0
1,12,"235074","5074","JuNbu",23,"CLS",0
1,13,"211004","1004","GrFrb",21,"OHB",7.6
1,13,"245013","5013","ArVth",24,"OLS",2.5
1,13,"235013","5013","ArVth",23,"CLS",24.6
1,13,"233004","3004","JuSwg",23,"CLS",18.9
1,13,"113004","3004","JuSwg",11,"SIW",20.6
1,13,"142025","2025","JuWsi",14,"YMW",19.8
1,13,"152025","2025","JuWsi",15,"OMW",5.7
1,13,"214021","4021","NaFor",21,"OHB",.3
1,13,"215012","5012","NaPgr",21,"OHB",0
1,13,"235074","5074","JuNbu",23,"CLS",0
1,14,"211004","1004","GrFrb",21,"OHB",7.5
1,14,"245013","5013","ArVth",24,"OLS",3
1,14,"235013","5013","ArVth",23,"CLS",23.9
1,14,"233004","3004","JuSwg",23,"CLS",18.8
1,14,"113004","3004","JuSwg",11,"SIW",20.2
1,14,"142025","2025","JuWsi",14,"YMW",20.5
1,14,"152025","2025","JuWsi",15,"OMW",5.7
1,14,"214021","4021","NaFor",21,"OHB",.4
1,14,"215012","5012","NaPgr",21,"OHB",0
1,14,"235074","5074","JuNbu",23,"CLS",0
1,15,"211004","1004","GrFrb",21,"OHB",7.6
1,15,"245013","5013","ArVth",24,"OLS",3.5
1,15,"235013","5013","ArVth",23,"CLS",22.6
1,15,"233004","3004","JuSwg",23,"CLS",18.9
1,15,"113004","3004","JuSwg",11,"SIW",20.1
1,15,"142025","2025","JuWsi",14,"YMW",21.1
1,15,"152025","2025","JuWsi",15,"OMW",5.8
1,15,"214021","4021","NaFor",21,"OHB",.3
1,15,"215012","5012","NaPgr",21,"OHB",.1
1,15,"235074","5074","JuNbu",23,"CLS",0
1,16,"211004","1004","GrFrb",21,"OHB",7
1,16,"245013","5013","ArVth",24,"OLS",4.7
1,16,"235013","5013","ArVth",23,"CLS",21.1
1,16,"233004","3004","JuSwg",23,"CLS",19.4
1,16,"113004","3004","JuSwg",11,"SIW",19.7
1,16,"142025","2025","JuWsi",14,"YMW",21.8
1,16,"152025","2025","JuWsi",15,"OMW",5.8
1,16,"214021","4021","NaFor",21,"OHB",.4
1,16,"215012","5012","NaPgr",21,"OHB",.1
1,16,"235074","5074","JuNbu",23,"CLS",0
1,17,"211004","1004","GrFrb",21,"OHB",7
1,17,"245013","5013","ArVth",24,"OLS",5
1,17,"235013","5013","ArVth",23,"CLS",20
1,17,"233004","3004","JuSwg",23,"CLS",19.8
1,17,"113004","3004","JuSwg",11,"SIW",19.4
1,17,"142025","2025","JuWsi",14,"YMW",22.5
1,17,"152025","2025","JuWsi",15,"OMW",5.8
1,17,"214021","4021","NaFor",21,"OHB",.4
1,17,"215012","5012","NaPgr",21,"OHB",.1
1,17,"235074","5074","JuNbu",23,"CLS",0
1,18,"211004","1004","GrFrb",21,"OHB",7.1
1,18,"245013","5013","ArVth",24,"OLS",5.4
1,18,"235013","5013","ArVth",23,"CLS",18.6
1,18,"233004","3004","JuSwg",23,"CLS",19.8
1,18,"113004","3004","JuSwg",11,"SIW",19.1
1,18,"142025","2025","JuWsi",14,"YMW",23.7
1,18,"152025","2025","JuWsi",15,"OMW",5.8
1,18,"214021","4021","NaFor",21,"OHB",.4
1,18,"215012","5012","NaPgr",21,"OHB",.1
1,18,"235074","5074","JuNbu",23,"CLS",0
1,19,"211004","1004","GrFrb",21,"OHB",6.6
1,19,"245013","5013","ArVth",24,"OLS",6.5
1,19,"235013","5013","ArVth",23,"CLS",16.9
1,19,"233004","3004","JuSwg",23,"CLS",20
1,19,"113004","3004","JuSwg",11,"SIW",19.2
1,19,"142025","2025","JuWsi",14,"YMW",24.3
1,19,"152025","2025","JuWsi",15,"OMW",5.9
1,19,"214021","4021","NaFor",21,"OHB",.5
1,19,"215012","5012","NaPgr",21,"OHB",.1
1,19,"235074","5074","JuNbu",23,"CLS",0
1,20,"211004","1004","GrFrb",21,"OHB",6.1
1,20,"245013","5013","ArVth",24,"OLS",7.2
1,20,"235013","5013","ArVth",23,"CLS",16.2
1,20,"233004","3004","JuSwg",23,"CLS",20.4
1,20,"113004","3004","JuSwg",11,"SIW",19
1,20,"142025","2025","JuWsi",14,"YMW",24.5
1,20,"152025","2025","JuWsi",15,"OMW",6
1,20,"214021","4021","NaFor",21,"OHB",.5
1,20,"215012","5012","NaPgr",21,"OHB",.1
1,20,"235074","5074","JuNbu",23,"CLS",0
1,21,"211004","1004","GrFrb",21,"OHB",5.7
1,21,"245013","5013","ArVth",24,"OLS",8.2
1,21,"235013","5013","ArVth",23,"CLS",16.1
1,21,"233004","3004","JuSwg",23,"CLS",19.5
1,21,"113004","3004","JuSwg",11,"SIW",18.7
1,21,"142025","2025","JuWsi",14,"YMW",25.1
1,21,"152025","2025","JuWsi",15,"OMW",6.1
1,21,"214021","4021","NaFor",21,"OHB",.5
1,21,"215012","5012","NaPgr",21,"OHB",.1
1,21,"235074","5074","JuNbu",23,"CLS",0
1,22,"211004","1004","GrFrb",21,"OHB",5.2
1,22,"245013","5013","ArVth",24,"OLS",9.1
1,22,"235013","5013","ArVth",23,"CLS",15.9
1,22,"233004","3004","JuSwg",23,"CLS",17.8
1,22,"113004","3004","JuSwg",11,"SIW",19.5
1,22,"142025","2025","JuWsi",14,"YMW",25.8
1,22,"152025","2025","JuWsi",15,"OMW",6.1
1,22,"214021","4021","NaFor",21,"OHB",.3
1,22,"215012","5012","NaPgr",21,"OHB",.3
1,22,"235074","5074","JuNbu",23,"CLS",0
1,23,"211004","1004","GrFrb",21,"OHB",5.1
1,23,"245013","5013","ArVth",24,"OLS",9.8
1,23,"235013","5013","ArVth",23,"CLS",15.7
1,23,"233004","3004","JuSwg",23,"CLS",16.5
1,23,"113004","3004","JuSwg",11,"SIW",19.8
1,23,"142025","2025","JuWsi",14,"YMW",26.3
1,23,"152025","2025","JuWsi",15,"OMW",6.2
1,23,"214021","4021","NaFor",21,"OHB",.3
1,23,"215012","5012","NaPgr",21,"OHB",.3
1,23,"235074","5074","JuNbu",23,"CLS",0
1,24,"211004","1004","GrFrb",21,"OHB",4.9
1,24,"245013","5013","ArVth",24,"OLS",10.2
1,24,"235013","5013","ArVth",23,"CLS",15.7
1,24,"233004","3004","JuSwg",23,"CLS",14.9
1,24,"113004","3004","JuSwg",11,"SIW",20.4
1,24,"142025","2025","JuWsi",14,"YMW",27
1,24,"152025","2025","JuWsi",15,"OMW",6.2
1,24,"214021","4021","NaFor",21,"OHB",.3
1,24,"215012","5012","NaPgr",21,"OHB",.4
1,24,"235074","5074","JuNbu",23,"CLS",0
1,25,"211004","1004","GrFrb",21,"OHB",5.2
1,25,"245013","5013","ArVth",24,"OLS",10.7
1,25,"235013","5013","ArVth",23,"CLS",15.6
1,25,"233004","3004","JuSwg",23,"CLS",14
1,25,"113004","3004","JuSwg",11,"SIW",20.1
1,25,"142025","2025","JuWsi",14,"YMW",27.3
1,25,"152025","2025","JuWsi",15,"OMW",6.2
1,25,"214021","4021","NaFor",21,"OHB",.5
1,25,"215012","5012","NaPgr",21,"OHB",.3
1,25,"235074","5074","JuNbu",23,"CLS",.1
1,26,"211004","1004","GrFrb",21,"OHB",5.2
1,26,"245013","5013","ArVth",24,"OLS",10.5
1,26,"235013","5013","ArVth",23,"CLS",16.1
1,26,"233004","3004","JuSwg",23,"CLS",12.7
1,26,"113004","3004","JuSwg",11,"SIW",20.2
1,26,"142025","2025","JuWsi",14,"YMW",28.2
1,26,"152025","2025","JuWsi",15,"OMW",6.2
1,26,"214021","4021","NaFor",21,"OHB",.4
1,26,"215012","5012","NaPgr",21,"OHB",.4
1,26,"235074","5074","JuNbu",23,"CLS",.1
1,27,"211004","1004","GrFrb",21,"OHB",5.4
1,27,"245013","5013","ArVth",24,"OLS",10
1,27,"235013","5013","ArVth",23,"CLS",16.6
1,27,"233004","3004","JuSwg",23,"CLS",11.8
1,27,"113004","3004","JuSwg",11,"SIW",20
1,27,"142025","2025","JuWsi",14,"YMW",29
1,27,"152025","2025","JuWsi",15,"OMW",6.2
1,27,"214021","4021","NaFor",21,"OHB",.5
1,27,"215012","5012","NaPgr",21,"OHB",.4
1,27,"235074","5074","JuNbu",23,"CLS",.1
1,28,"211004","1004","GrFrb",21,"OHB",5.1
1,28,"245013","5013","ArVth",24,"OLS",9.6
1,28,"235013","5013","ArVth",23,"CLS",17.4
1,28,"233004","3004","JuSwg",23,"CLS",11
1,28,"113004","3004","JuSwg",11,"SIW",19.5
1,28,"142025","2025","JuWsi",14,"YMW",30.2
1,28,"152025","2025","JuWsi",15,"OMW",6.2
1,28,"214021","4021","NaFor",21,"OHB",.5
1,28,"215012","5012","NaPgr",21,"OHB",.4
1,28,"235074","5074","JuNbu",23,"CLS",.1
1,29,"211004","1004","GrFrb",21,"OHB",4.9
1,29,"245013","5013","ArVth",24,"OLS",9.7
1,29,"235013","5013","ArVth",23,"CLS",17.7
1,29,"233004","3004","JuSwg",23,"CLS",9.8
1,29,"113004","3004","JuSwg",11,"SIW",19.9
1,29,"142025","2025","JuWsi",14,"YMW",30.6
1,29,"152025","2025","JuWsi",15,"OMW",6.3
1,29,"214021","4021","NaFor",21,"OHB",.5
1,29,"215012","5012","NaPgr",21,"OHB",.5
1,29,"235074","5074","JuNbu",23,"CLS",.1
1,30,"211004","1004","GrFrb",21,"OHB",5
1,30,"245013","5013","ArVth",24,"OLS",9.4
1,30,"235013","5013","ArVth",23,"CLS",18
1,30,"233004","3004","JuSwg",23,"CLS",8.9
1,30,"113004","3004","JuSwg",11,"SIW",19.9
1,30,"142025","2025","JuWsi",14,"YMW",31.2
1,30,"152025","2025","JuWsi",15,"OMW",6.3
1,30,"214021","4021","NaFor",21,"OHB",.7
1,30,"215012","5012","NaPgr",21,"OHB",.5
1,30,"235074","5074","JuNbu",23,"CLS",.1
1,31,"211004","1004","GrFrb",21,"OHB",5.3
1,31,"245013","5013","ArVth",24,"OLS",8.7
1,31,"235013","5013","ArVth",23,"CLS",7.9
1,31,"233004","3004","JuSwg",23,"CLS",18.5
1,31,"113004","3004","JuSwg",11,"SIW",20.1
1,31,"142025","2025","JuWsi",14,"YMW",31.9
1,31,"152025","2025","JuWsi",15,"OMW",6.3
1,31,"214021","4021","NaFor",21,"OHB",.7
1,31,"215012","5012","NaPgr",21,"OHB",.5
1,31,"235074","5074","JuNbu",23,"CLS",.1
1,32,"211004","1004","GrFrb",21,"OHB",5.3
1,32,"245013","5013","ArVth",24,"OLS",8.7
1,32,"235013","5013","ArVth",23,"CLS",6.9
1,32,"233004","3004","JuSwg",23,"CLS",18.9
1,32,"113004","3004","JuSwg",11,"SIW",19.9
1,32,"142025","2025","JuWsi",14,"YMW",32.6
1,32,"152025","2025","JuWsi",15,"OMW",6.4
1,32,"214021","4021","NaFor",21,"OHB",.7
1,32,"215012","5012","NaPgr",21,"OHB",.3
1,32,"235074","5074","JuNbu",23,"CLS",.3
1,33,"211004","1004","GrFrb",21,"OHB",5
1,33,"245013","5013","ArVth",24,"OLS",8.7
1,33,"235013","5013","ArVth",23,"CLS",5.9
1,33,"233004","3004","JuSwg",23,"CLS",19.5
1,33,"113004","3004","JuSwg",11,"SIW",19.6
1,33,"142025","2025","JuWsi",14,"YMW",33.5
1,33,"152025","2025","JuWsi",15,"OMW",6.4
1,33,"214021","4021","NaFor",21,"OHB",.8
1,33,"215012","5012","NaPgr",21,"OHB",.3
1,33,"235074","5074","JuNbu",23,"CLS",.3
1,34,"211004","1004","GrFrb",21,"OHB",5
1,34,"245013","5013","ArVth",24,"OLS",7.8
1,34,"235013","5013","ArVth",23,"CLS",6.1
1,34,"233004","3004","JuSwg",23,"CLS",20
